"K","IC"
0,0.121245674740484
1,0.105665506992504
2,0.0914118269899547
3,0.0787690552409497
4,0.0673568821580177
5,0.0574939411114027
6,0.0487317027784718
7,0.0413113606191098
8,0.0361506341855654
9,0.0321506434759838
10,0.0294106560457646
11,0.0275568751232733
12,0.0260581299284814
13,0.0249847833438251
14,0.0241344139101713
15,0.0236084874552294
16,0.0232094118901519
17,0.0228466443821531
18,0.022544272197169
19,0.022331667146955
20,0.0221883733994815
21,0.0220936605399666
22,0.0220459022307134
23,0.0220366608676436
24,0.0220693511274398
25,0.0221563417929227
26,0.0222692990693045
27,0.0224241043363527
28,0.0226163843455796
29,0.0228372993121689
30,0.0231126062900927
31,0.0234166186108112
32,0.023759635242111
33,0.0241316277428325
34,0.024546286113748
35,0.0249981725984076
36,0.0254792470499154
37,0.0259879111248364
38,0.0265394761607725
39,0.0271310572238421
40,0.0277472988872002
41,0.0283881896086699
42,0.0290677170664514
43,0.0297717615177141
44,0.0305150584026858
45,0.0312890214478659
46,0.0320859013059874
47,0.0329062916676619
48,0.0337574468763197
49,0.0346355199005941
50,0.0355359344421783
