"doc_id","title","cite","keywords"
"Paper_135","survival_analysis under cross_sectional sampling: length bias and multiplicative censoring","33","['survival analysis', 'cross-sectional sampling', 'length bias', 'multiplicative censoring', 'semiparametrics']"
"Paper_229","rate_of convergence for asymptotic variance of the Horvitz_Thompson_ESTIMATOR","38","['Horvitz-Thompson estimator', 'inclusion probabilities', 'Rao-Sampford sampling', 'rejective sampling', 'successive sampling', 'unequal probability sampling without', 'replacement']"
"Paper_235","On semiparametric random_censorship model","71","['censored data', 'binary data', 'maximum likelihood estimation', 'functional central limit theorem', 'uniform consistency', 'Kaplan-Meier estimator', 'proportional hazards model']"
"Paper_249","NONPARAMETRIC HAZARD VERSUS NONPARAMETRIC FRAILTY_distribution IN model ING RECURRENCE OF BREAST_CANCER","8","['FRAILTY', 'SURVIVAL MODEL', 'PIECEWISE EXPONENTIAL', 'PROFILE LOG-LIKELIHOOD', 'NONPARAMETRIC', 'MIXING DISTRIBUTION, RECURRENT EVENTS']"
"Paper_312","SEMIPARAMETRIC INFERENCE FOR THE ACCELERATED LIFE model WITH TIME_DEPENDENT COVARIATES","42","['ACCELERATED FAILURE TIME MODEL', 'CENSORING', 'LOG RANK STATISTIC', 'MINIMUM DISPERSION STATISTIC', 'RANK REGRESSION', 'SURVIVAL DATA', 'TIME-VARYING COVARIATES']"
"Paper_369","Asymptotic normality of maximum_likelihood_ESTIMATOR from multiparameter response_driven_design","52","['adaptive designs', 'consistency', 'dose-response studies', 'random walks', 'up-and-down designs', 'urn models']"
"Paper_489","ON ADAPTIVE_ESTIMATION","5","[]"
"Paper_504","A step_down multiple hypotheses testing procedure that controls the false_discovery rate_under independence","162","['FDR', 'multiple comparison procedures', 'stepwise procedures']"
"Paper_508","model_selection with data_oriented penalty","21","['AIC', 'GIC', 'linear regression', 'model selection', 'variables selection']"
"Paper_739","Alternative forms of fractional Brownian motion","133","['fractional Brownian motion', 'nonstationary time series', 'long-range dependence']"
"Paper_945","MINIMAX AND MAXIMIN DISTANCE_design","809","[]"
