"","V1","V2"
"7","RegPent27","URH0"
"8","URH0","ShSH"
"9","ShSH","Settl"
"10","Settl","AccessRoad"
"11","AccessRoad","PatentShICT"
"12","PatentShICT","Seaports"
"13","Seaports","PatentShBIO"
"14","PatentShBIO","RailDens"
"15","RailDens","ARH0"
"16","ARH0","PatentICT"
"17","PatentICT","PatentShHT"
"18","PatentShHT","URT0"
"19","URT0","RegObj1"
"20","RegObj1","ShCE0"
"21","ShCE0","RegCoast"
"22","RegCoast",""
"23","","ART0"
"24","ART0","URL0"
"25","URL0","RoadDens"
"26","RoadDens","ERET0"
"27","ERET0","PatentHT"
"28","PatentHT","ARL0"
"29","ARL0","ShAB0"
"30","ShAB0","EREL0"
"31","EREL0","OUTDENS0"
"32","OUTDENS0","TELH"
"33","TELH","PatentT"
"34","PatentT","PatentBIO"
"35","PatentBIO","TELF"
"36","TELF","ConnectAir"
"37","ConnectAir","ConnectSea"
"38","ConnectSea","Distde71"
"39","Distde71","ShLLL"
"40","ShLLL","ShSL"
"41","ShSL","Airports"
"42","Airports","RegBoarder"
"43","RegBoarder","HRSTcore"
"44","HRSTcore","gPOP"
"45","gPOP","DistCap"
