"index","title","cite","keywords"
1,"A regression model ling framework for receiver operating characteristic_curves in medical diagnostic testing",87,"['accuracy', 'classification', 'screening', 'sensitivity', 'signal detection']"
1,"Estimation of operating characteristics for dependent diagnostic test based on Latent_Markov model",24,"['latent Markov process', 'log-linear model', 'longitudinal data', 'marginal likelihood', 'missing data', 'reliability', 'sensitivity', 'specificity']"
1,"Time_dependent ROC_curves for censored survival_data and a diagnostic marker",1605,"['accuracy', 'discrimination', 'Kaplan-Meier estimator', 'kernel smoothing', 'sensitivity', 'specificity']"
1,"Correlation_adjusted_ESTIMATION of sensitivity and specificity of two diagnostic tests",138,"['Bayesian approach', 'data augmentation approach', 'dependent screening tests', 'Gibbs sampling', 'prevalence']"
1,"An individual level infectious disease model in the presence of uncertainty from multiple, imperfect diagnostic tests",34,"['Bayesian', 'compartmental model', 'diagnostic uncertainty', 'infectious disease modeling', 'reversible-jump MCMC']"
1,"Bayesian approaches to model ing the conditional_dependence between multiple diagnostic tests",322,"['Bayesian analysis', 'binary data', 'correlation', 'diagnostic tests', 'gold standard', 'latent class model', 'Markov chain Monte Carlo', 'random effects model', 'sensitivity', 'specificity']"
1,"Goodness_of_Fit Diagnostics for Bayesian Hierarchical model",20,"['Discrepancy measures', 'Markov chain Monte Carlo', 'Model checking', 'Model criticism', 'Model hierarchy', 'Posterior-predictive density']"
1,"Diagnostic checking for time_series model with conditional_heteroscedasticity estimated by the least_absolute deviation approach",26,"['absolute residual autocorrelation', 'asymptotic distribution', 'diagnostic checking', 'GARCH model', 'local least absolute deviation estimator', 'squared residual autocorrelation']"
1,"Insights into Latent_class analysis of diagnostic test performance",118,"['errors in variables', 'factor analysis', 'imperfect reference test', 'item response theory', 'latent variables', 'sensitivity', 'specificity']"
1,"Comparative study of ROC regression techniques_Applications for the computer_aided diagnostic system in breast cancer_detection",20,"['ROC curve', 'Regression techniques', 'B-splines', 'Computer-aided diagnosis']"
1,"Bayesian nonlinear regression model with scale mixtures of skew_normal_distribution ESTIMATION and case influence diagnostics",34,"['Bayesian inference', 'Nonlinear regression models', 'Scale mixtures of skew-normal distributions']"
1,"Diagnostics for functional regression via residual_process",52,"[""Cook's distance"", 'eigenvalue weighting', 'functional data analysis', 'gene expression profile', 'goodness-of-fit', 'hat matrix', 'principal component', 'randomization test', 'residuals']"
1,"Bivariate Birnbaum_Saunders accelerated lifeTIME_model ESTIMATION and diagnostic analysis",33,"['Dependence', 'frailty', 'local influence', 'residual analysis', 'survival data']"
1,"Diagnostics in multivariate Generalized_Birnbaum_Saunders regression model",47,"['Birnbaum-Saunders distributions', 'global and local influence', 'goodness-of-fit', 'multivariate data analysis', 'R software']"
1,"Generalized_functional ANOVA diagnostics for high_dimensional functions of dependent variable",74,"['extrapolation', 'grid estimates', 'machine learning', 'variable importance']"
1,"Residual diagnostics for growth mixture model : Examining the impact of a preventive intervention on multiple trajectories of aggressive behavior",132,"['empirical Bayes', 'growth mixture modeling', 'latent variables', 'marginal maximum likelihood', 'preventive intervention', 'pseudoclass']"
2,"Smoothing parameter_selection in nonparametric regression using an improved Akaike information criterion",757,"['convolution kernel regression estimator', 'local polynomial regression estimator', 'plug-in method', 'smoothing spline regression estimator']"
2,"A CRITERION FOR DETERMINING THE NUMBER OF GROUPS IN A DATA SET USING SUM_OF_SQUARES CLUSTERING",399,"[]"
2,"Density_ESTIMATION by Total Variation Penalized Likelihood Driven by the Sparsity l(1) Information Criterion",14,"['convex programme', 'dual block coordinate relaxation', 'extreme value theory', 'l(1)-penalization', 'smoothing', 'total variation', 'universal penalty parameter']"
2,"Understanding predictive information criteria for Bayesian model",830,"['AIC', 'DIC', 'WAIC', 'Cross-validation', 'Prediction', 'Bayes']"
2,"A comparison of some criteria for states_selection in the Latent_Markov model for longitudinal data",34,"['Akaike information criterion', 'Bayesian information criterion', 'Entropy', 'Mixture model', 'Multivariate latent Markov model', 'Normalized entropy criterion']"
2,"CRITERIA FOR BAYESIAN model CHOICE WITH APPLICATION TO variable_selection",150,"['Model selection', 'variable selection', 'objective Bayes']"
2,"A modified Bayes information criterion with applications to the analysis of comparative genomic hybridization data",215,"['Bayes information criterion', 'change-point', 'comparative genomic hybridization', 'model selection']"
2,"On the use of a penalized quasilikelihood information criterion for Generalized_linear_mixed_model",1,"['Fixed effect', 'Model selection', 'Penalized quasilikelihood', 'Random effect', 'Variable selection']"
